"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"531161","ABMKNO","Abm Knowledgeware","X","1.0000","1","ES","E","BSE","112.6400","75.1000","","","-1"
"17939","HINDCOPPER","Hindustan Copper","EQ","5.0000","1","ES","E","NSE","173.1000","141.7000","","","634367"
"513010","TATASTLLP","Tata Steel Long Products","B","5.0000","1","ES","E","BSE","969.5000","646.4000","","","-1"
"538777","ASIACAP","Asia Capital","XT","1.0000","1","ES","E","BSE","17.3700","15.7300","","","-1"
"531228","RANDER","Rander Corporation","X","1.0000","1","ES","E","BSE","8.9200","8.5800","","","-1"
"15160","KALYANIFRG","Kalyani Forge","BE","5.0000","1","ES","E","NSE","561.6500","539.6500","","","118962"
"530759","STERTOOLS","Sterling Tools","B","5.0000","1","ES","E","BSE","430.7000","287.2000","","","-1"
"2331","JAYNECOIND","Jayaswal Neco Industr","EQ","5.0000","1","ES","E","NSE","38.6500","35.0000","","","2712969"
"530431","ADORFO","Ador Fontech","X","5.0000","1","ES","E","BSE","128.3000","85.6000","","","-1"
"10181","BALKRISHNA","Balkrishna Paper Mills L","EQ","5.0000","1","ES","E","NSE","30.9500","28.0500","","","351192"
"8132","BLBLIMITED","BLB","EQ","5.0000","1","ES","E","NSE","28.0000","18.7000","","","1728693"
"14154","UNOMINDA","UNO Minda","EQ","5.0000","1","ES","E","NSE","720.4000","480.3000","","","166147"
"532113","BRIJLEAS","Brijlaxmi Leasing & Finan","X","1.0000","1","ES","E","BSE","4.2600","3.8600","","","-1"
"18501","SABEVENTS","SAB EVENTS & GOVERNANCE","BE","5.0000","1","ES","E","NSE","4.6000","4.4500","","","342817"
"500333","PIXTRANS","Pix Transmissions","B","5.0000","1","ES","E","BSE","1290.4000","860.3000","","","-1"
"539174","HELPAGE","Helpage Finlease","XT","1.0000","1","ES","E","BSE","13.0000","11.7800","","","-1"
"531051","VINTAGES","Vintage Securities","XT","1.0000","1","ES","E","BSE","11.7600","10.6400","","","-1"
"535387","LAKHOTIA","Lakhotia Polyesters (Indi","XT","1.0000","1","ES","E","BSE","42.6300","40.9700","","","-1"
"4136","BIOFILCHEM","Biofil Chem & Pharma","EQ","5.0000","1","ES","E","NSE","58.6000","39.1000","","","532153"
"511611","DCMFINSERV","Dcm Financial Services","B","1.0000","1","ES","E","BSE","4.5700","4.1500","","","-1"
"517214","DIGISPICE","Digispice Technologies Li","T","1.0000","1","ES","E","BSE","35.7000","32.3000","","","-1"
"193","ARVIND","Arvind","EQ","5.0000","1","ES","E","NSE","200.0000","133.4000","","","599875"
"533269","WABAG","Va Tech Wabag","A","5.0000","1","ES","E","BSE","563.2500","375.5500","","","-1"
"500266","MAHSCOOTER","Maharashtra Scooters","A","5.0000","1","ES","E","BSE","9545.5000","6363.7000","","","-1"
"540719","SBILIFE","SBI Life Insurance","A","5.0000","1","ES","E","BSE","1422.5000","1163.9000","","","-1"
"19235","IMFA","Indian Metals & Ferro","EQ","5.0000","1","ES","E","NSE","512.9000","342.0000","","","233945"
"3351","SUNPHARMA","Sun Pharmaceutical","EQ","5.0000","1","ES","E","NSE","1236.4500","1011.6500","","","88775"
"526441","VISIONCINE","Vision Cinemas","XT","1.0000","1","ES","E","BSE","1.0500","0.9500","","","-1"
"531784","KCLINFRA","Kcl Infra Projects Limite","XT","1.0000","1","ES","E","BSE","1.7900","1.7300","","","-1"
"511628","IMCAP","IM Capitals","X","5.0000","1","ES","E","BSE","507.6000","459.3000","","","-1"
"537291","NATHBIOGEN","Nath Bio-Genes Lt","B","5.0000","1","ES","E","BSE","244.7000","163.2000","","","-1"
"13400","BHAGERIA","Bhageria Industries","EQ","5.0000","1","ES","E","NSE","189.1500","126.1500","","","634280"
"4244","HDFCAMC","HDFC AMC","EQ","5.0000","1","ES","E","NSE","2938.2000","2404.0000","","","37357"
"8833","BCG","Brightcom Group","EQ","5.0000","1","ES","E","NSE","19.1500","17.3500","","","5478657"
"505688","BHARATGEAR","Bharat Gears","B","5.0000","1","ES","E","BSE","148.0000","98.7000","","","-1"
"524332","BCLIL","Bcl Industries","B","5.0000","1","ES","E","BSE","660.9000","440.6000","","","-1"
